time,device_id,f_cnt,BatV,Bat_status,Ext_sensor,Hum_SHT,TempC_DS,TempC_SHT,Exti_pin_level,Exti_status,Work_mode
2026-01-04 00:00:00+00:00,blackbulbmodel1,4582.0,3.02,3.0,Temperature Sensor,99.7,0.5,0.68,,False,
2026-01-04 00:30:00+00:00,blackbulbmodel1,4584.0,3.019,3.0,Temperature Sensor,99.4,-0.06,0.34,,False,
2026-01-04 01:00:00+00:00,blackbulbmodel1,,3.019,3.0,Temperature Sensor,99.06666666666668,0.16666666666666666,0.54,,False,
2026-01-04 01:30:00+00:00,blackbulbmodel1,,3.019,3.0,Temperature Sensor,98.73333333333333,0.3933333333333333,0.74,,False,
2026-01-04 02:00:00+00:00,blackbulbmodel1,4588.0,3.019,3.0,Temperature Sensor,98.4,0.62,0.94,,False,
2026-01-04 02:30:00+00:00,blackbulbmodel1,,3.019,3.0,Temperature Sensor,97.9,0.46499999999999997,0.845,,False,
2026-01-04 03:00:00+00:00,blackbulbmodel1,4591.0,3.02,3.0,Temperature Sensor,97.4,0.31,0.75,,False,
2026-01-04 03:30:00+00:00,blackbulbmodel1,,3.02,3.0,Temperature Sensor,96.85,0.43500000000000005,0.825,,False,
2026-01-04 04:00:00+00:00,blackbulbmodel1,4595.0,3.019,3.0,Temperature Sensor,96.3,0.56,0.9,,False,
2026-01-04 04:30:00+00:00,blackbulbmodel1,4596.0,3.019,3.0,Temperature Sensor,96.6,0.31,0.78,,False,
2026-01-04 05:00:00+00:00,blackbulbmodel1,4598.0,3.019,3.0,Temperature Sensor,97.3,0.43,0.69,,False,
2026-01-04 05:30:00+00:00,blackbulbmodel1,,3.019,3.0,Temperature Sensor,98.05,0.33999999999999997,0.5599999999999999,,False,
2026-01-04 06:00:00+00:00,blackbulbmodel1,4600.0,3.018,3.0,Temperature Sensor,98.8,0.25,0.43,,False,
2026-01-04 06:30:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,99.1,0.155,0.435,,False,
2026-01-04 07:00:00+00:00,blackbulbmodel1,4603.0,3.019,3.0,Temperature Sensor,99.4,0.06,0.44,,False,
2026-01-04 07:30:00+00:00,blackbulbmodel1,,3.019,3.0,Temperature Sensor,99.4,-0.06000000000000001,0.275,,False,
2026-01-04 08:00:00+00:00,blackbulbmodel1,4606.0,3.018,3.0,Temperature Sensor,99.4,-0.18,0.11,,False,
2026-01-04 08:30:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,99.4,0.06500000000000003,0.325,,False,
2026-01-04 09:00:00+00:00,blackbulbmodel1,4609.0,3.018,3.0,Temperature Sensor,99.4,0.31,0.54,,False,
2026-01-04 09:30:00+00:00,blackbulbmodel1,4611.0,3.019,3.0,Temperature Sensor,97.7,1.06,1.13,,False,
2026-01-04 10:00:00+00:00,blackbulbmodel1,4612.0,3.019,3.0,Temperature Sensor,97.8,0.93,0.97,,False,
2026-01-04 10:30:00+00:00,blackbulbmodel1,4614.0,3.021,3.0,Temperature Sensor,89.0,6.12,2.87,,False,
2026-01-04 11:00:00+00:00,blackbulbmodel1,4615.0,3.02,3.0,Temperature Sensor,88.6,7.5,3.21,,False,
2026-01-04 11:30:00+00:00,blackbulbmodel1,,3.02,3.0,Temperature Sensor,90.3,5.6850000000000005,2.725,,False,
2026-01-04 12:00:00+00:00,blackbulbmodel1,4619.0,3.02,3.0,Temperature Sensor,92.0,3.87,2.24,,False,
2026-01-04 12:30:00+00:00,blackbulbmodel1,4620.0,3.02,3.0,Temperature Sensor,89.0,7.37,3.08,,False,
2026-01-04 13:00:00+00:00,blackbulbmodel1,4622.0,3.019,3.0,Temperature Sensor,92.5,3.12,2.1,,False,
2026-01-04 13:30:00+00:00,blackbulbmodel1,4623.0,3.019,3.0,Temperature Sensor,94.4,1.25,1.34,,False,
2026-01-04 14:00:00+00:00,blackbulbmodel1,4624.0,3.02,3.0,Temperature Sensor,96.8,1.12,0.92,,False,
2026-01-04 14:30:00+00:00,blackbulbmodel1,,3.02,3.0,Temperature Sensor,97.24,0.9580000000000001,0.8320000000000001,,False,
2026-01-04 15:00:00+00:00,blackbulbmodel1,,3.02,3.0,Temperature Sensor,97.67999999999999,0.796,0.744,,False,
2026-01-04 15:30:00+00:00,blackbulbmodel1,,3.02,3.0,Temperature Sensor,98.12,0.6340000000000001,0.656,,False,
2026-01-04 16:00:00+00:00,blackbulbmodel1,,3.02,3.0,Temperature Sensor,98.56,0.4720000000000001,0.5680000000000001,,False,
2026-01-04 16:30:00+00:00,blackbulbmodel1,4632.0,3.018,3.0,Temperature Sensor,99.0,0.31,0.48,,False,
2026-01-04 17:00:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,99.2,0.31,0.485,,False,
2026-01-04 17:30:00+00:00,blackbulbmodel1,4635.0,3.018,3.0,Temperature Sensor,99.4,0.31,0.49,,False,
2026-01-04 18:00:00+00:00,blackbulbmodel1,4636.0,3.018,3.0,Temperature Sensor,99.6,0.25,0.43,,False,
2026-01-04 18:30:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,96.44999999999999,-0.15500000000000003,0.26,,False,
2026-01-04 19:00:00+00:00,blackbulbmodel1,4640.0,3.018,3.0,Temperature Sensor,93.3,-0.56,0.09,,False,
2026-01-04 19:30:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,91.975,-0.6525000000000001,-0.020000000000000004,,False,
2026-01-04 20:00:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,90.65,-0.7450000000000001,-0.13,,False,
2026-01-04 20:30:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,89.325,-0.8375,-0.23999999999999996,,False,
2026-01-04 21:00:00+00:00,blackbulbmodel1,4645.0,3.018,3.0,Temperature Sensor,88.0,-0.93,-0.35,,False,
2026-01-04 21:30:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,88.65,-1.2750000000000001,-0.495,,False,
2026-01-04 22:00:00+00:00,blackbulbmodel1,4648.0,3.017,3.0,Temperature Sensor,89.3,-1.62,-0.64,,False,
2026-01-04 22:30:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,87.9,-1.685,-0.7000000000000001,,False,
2026-01-04 23:00:00+00:00,blackbulbmodel1,4651.0,3.017,3.0,Temperature Sensor,86.5,-1.75,-0.76,,False,
2026-01-04 23:30:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,87.74,-1.874,-0.94,,False,
2026-01-05 00:00:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,88.98,-1.998,-1.12,,False,
2026-01-05 00:30:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,90.22,-2.122,-1.2999999999999998,,False,
2026-01-05 01:00:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,91.46000000000001,-2.246,-1.48,,False,
2026-01-05 01:30:00+00:00,blackbulbmodel1,4659.0,3.017,3.0,Temperature Sensor,92.7,-2.37,-1.66,,False,
2026-01-05 02:00:00+00:00,blackbulbmodel1,4660.0,3.017,3.0,Temperature Sensor,92.6,-2.25,-1.65,,False,
2026-01-05 02:30:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,92.75,-2.0,-1.495,,False,
2026-01-05 03:00:00+00:00,blackbulbmodel1,4664.0,3.015,3.0,Temperature Sensor,92.9,-1.75,-1.34,,False,
2026-01-05 03:30:00+00:00,blackbulbmodel1,,3.015,3.0,Temperature Sensor,94.2,-1.685,-1.275,,False,
2026-01-05 04:00:00+00:00,blackbulbmodel1,4667.0,3.017,3.0,Temperature Sensor,95.5,-1.62,-1.21,,False,
2026-01-05 04:30:00+00:00,blackbulbmodel1,4668.0,3.016,3.0,Temperature Sensor,96.1,-1.75,-1.3,,False,
2026-01-05 05:00:00+00:00,blackbulbmodel1,4669.0,3.016,3.0,Temperature Sensor,96.5,-1.43,-1.11,,False,
2026-01-05 05:30:00+00:00,blackbulbmodel1,4671.0,3.017,3.0,Temperature Sensor,97.2,-1.0,-0.83,,False,
2026-01-05 06:00:00+00:00,blackbulbmodel1,4672.0,3.016,3.0,Temperature Sensor,97.4,-0.81,-0.62,,False,
2026-01-05 06:30:00+00:00,blackbulbmodel1,,3.016,3.0,Temperature Sensor,98.55000000000001,-0.405,-0.20999999999999996,,False,
2026-01-05 07:00:00+00:00,blackbulbmodel1,4675.0,3.016,3.0,Temperature Sensor,99.7,0.0,0.2,,False,
2026-01-05 07:30:00+00:00,blackbulbmodel1,,3.016,3.0,Temperature Sensor,98.76666666666667,-0.25,-0.08333333333333337,,False,
2026-01-05 08:00:00+00:00,blackbulbmodel1,,3.016,3.0,Temperature Sensor,97.83333333333334,-0.5,-0.36666666666666675,,False,
2026-01-05 08:30:00+00:00,blackbulbmodel1,4680.0,3.016,3.0,Temperature Sensor,96.9,-0.75,-0.65,,False,
2026-01-05 09:00:00+00:00,blackbulbmodel1,4681.0,3.018,3.0,Temperature Sensor,98.8,-1.0,-1.0,,False,
2026-01-05 09:30:00+00:00,blackbulbmodel1,4683.0,3.016,3.0,Temperature Sensor,99.6,-0.87,-1.1,,False,
2026-01-05 10:00:00+00:00,blackbulbmodel1,4684.0,3.017,3.0,Temperature Sensor,99.8,-1.12,-1.31,,False,
2026-01-05 10:30:00+00:00,blackbulbmodel1,4686.0,3.015,3.0,Temperature Sensor,99.8,-0.81,-1.19,,False,
2026-01-05 11:00:00+00:00,blackbulbmodel1,4687.0,3.015,3.0,Temperature Sensor,99.8,-0.43,-1.01,,False,
2026-01-05 11:30:00+00:00,blackbulbmodel1,4689.0,3.016,3.0,Temperature Sensor,99.8,0.31,0.1,,False,
2026-01-05 12:00:00+00:00,blackbulbmodel1,4691.0,3.017,3.0,Temperature Sensor,99.6,0.5,0.64,,False,
2026-01-05 12:30:00+00:00,blackbulbmodel1,4692.0,3.018,3.0,Temperature Sensor,98.0,0.62,0.72,,False,
2026-01-05 13:00:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,95.95,0.9950000000000001,0.73,,False,
2026-01-05 13:30:00+00:00,blackbulbmodel1,4695.0,3.018,3.0,Temperature Sensor,93.9,1.37,0.74,,False,
2026-01-05 14:00:00+00:00,blackbulbmodel1,4696.0,3.017,3.0,Temperature Sensor,94.5,0.81,0.38,,False,
2026-01-05 14:30:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,95.5,0.15500000000000003,-0.03500000000000003,,False,
2026-01-05 15:00:00+00:00,blackbulbmodel1,4699.0,3.016,3.0,Temperature Sensor,96.5,-0.5,-0.45,,False,
2026-01-05 15:30:00+00:00,blackbulbmodel1,,3.016,3.0,Temperature Sensor,96.3,-1.0,-0.7450000000000001,,False,
2026-01-05 16:00:00+00:00,blackbulbmodel1,4702.0,3.017,3.0,Temperature Sensor,96.1,-1.5,-1.04,,False,
2026-01-05 16:30:00+00:00,blackbulbmodel1,4704.0,3.016,3.0,Temperature Sensor,97.5,-0.81,-0.88,,False,
2026-01-05 17:00:00+00:00,blackbulbmodel1,,3.016,3.0,Temperature Sensor,98.65,-0.56,-0.675,,False,
2026-01-05 17:30:00+00:00,blackbulbmodel1,4707.0,3.016,3.0,Temperature Sensor,99.8,-0.31,-0.47,,False,
2026-01-05 18:00:00+00:00,blackbulbmodel1,4708.0,3.015,3.0,Temperature Sensor,99.9,-0.5,-0.51,,False,
2026-01-05 18:30:00+00:00,blackbulbmodel1,,3.015,3.0,Temperature Sensor,99.9,-0.19,-0.24,,False,
2026-01-05 19:00:00+00:00,blackbulbmodel1,4712.0,3.015,3.0,Temperature Sensor,99.9,0.12,0.03,,False,
2026-01-05 19:30:00+00:00,blackbulbmodel1,4713.0,3.014,3.0,Temperature Sensor,99.9,0.18,0.14,,False,
2026-01-05 20:00:00+00:00,blackbulbmodel1,4715.0,3.014,3.0,Temperature Sensor,99.9,0.18,0.21,,False,
2026-01-05 20:30:00+00:00,blackbulbmodel1,4716.0,3.015,3.0,Temperature Sensor,99.9,0.25,0.24,,False,
2026-01-05 21:00:00+00:00,blackbulbmodel1,4717.0,3.016,3.0,Temperature Sensor,99.9,0.25,0.25,,False,
2026-01-05 21:30:00+00:00,blackbulbmodel1,4719.0,3.016,3.0,Temperature Sensor,99.9,0.25,0.23,,False,
2026-01-05 22:00:00+00:00,blackbulbmodel1,4720.0,3.016,3.0,Temperature Sensor,99.9,0.18,0.16,,False,
2026-01-05 22:30:00+00:00,blackbulbmodel1,,3.016,3.0,Temperature Sensor,99.9,0.15,0.165,,False,
2026-01-05 23:00:00+00:00,blackbulbmodel1,4723.0,3.014,3.0,Temperature Sensor,99.9,0.12,0.17,,False,
2026-01-05 23:30:00+00:00,blackbulbmodel1,4725.0,3.015,3.0,Temperature Sensor,99.9,0.18,0.18,,False,
2026-01-06 00:00:00+00:00,blackbulbmodel1,4726.0,3.015,3.0,Temperature Sensor,99.9,0.06,0.14,,False,
2026-01-06 00:30:00+00:00,blackbulbmodel1,4728.0,3.015,3.0,Temperature Sensor,99.9,-0.62,-0.2,,False,
2026-01-06 01:00:00+00:00,blackbulbmodel1,,3.015,3.0,Temperature Sensor,99.80000000000001,-2.34,-1.545,,False,
2026-01-06 01:30:00+00:00,blackbulbmodel1,4731.0,3.013,3.0,Temperature Sensor,99.7,-4.06,-2.89,,False,
2026-01-06 02:00:00+00:00,blackbulbmodel1,,3.013,3.0,Temperature Sensor,72.36666666666667,-5.08,9.41,,False,
2026-01-06 02:30:00+00:00,blackbulbmodel1,,3.013,3.0,Temperature Sensor,86.03333333333333,-6.1,2.01,,False,
2026-01-06 03:00:00+00:00,blackbulbmodel1,4735.0,3.011,3.0,Temperature Sensor,99.7,-7.12,-5.39,,False,
2026-01-06 03:30:00+00:00,blackbulbmodel1,4737.0,3.01,3.0,Temperature Sensor,99.7,-4.06,-3.69,,False,
